Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
70.663,42.303,-14.015,0.021,14.016,0.039,-375.424,-0.015,375.424,-179.998,6.86,0.032,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.297e5,0,6.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.394e-5,NaN,NaN,NaN,NaN,6.796,58.824,1011.484,1116.567,0.5,0.274
71.059,36.691,-14.304,-0.023,14.305,0.092,-377.918,-0.015,377.918,-179.998,5.729,0.089,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.366e5,0,5.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.386e-5,NaN,NaN,NaN,NaN,5.587,58.849,1011.738,1116.595,0.396,0.274
71.559,29.599,-14.066,0.015,14.066,0.044,-380.614,-0.015,380.614,-179.998,5.055,0.042,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.31e5,0,6.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.257e-5,NaN,NaN,NaN,NaN,5.138,58.869,1011.938,1116.617,0.5,0.274
71.915,24.556,-14.232,-0.014,14.235,0.099,-382.616,-0.015,382.616,-179.998,6.18,0.098,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.35e5,0,5.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.048e-5,NaN,NaN,NaN,NaN,6.458,58.894,1012.192,1116.645,0.356,0.274
72.186,20.717,-14.191,0.005,14.192,0.035,-384.244,-0.015,384.244,-179.998,5.875,0.035,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.341e5,0,6.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.318e-5,NaN,NaN,NaN,NaN,5.683,58.912,1012.372,1116.665,0.27,0.275
72.668,13.869,-14.211,-0.001,14.211,0.022,-387.159,-0.015,387.159,-179.998,6.213,0.022,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.345e5,0,6.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.244e-5,NaN,NaN,NaN,NaN,6.186,58.926,1012.509,1116.68,0.482,0.275
73.168,6.772,-14.177,0.002,14.177,0.036,-390.121,-0.015,390.121,-179.998,5.638,0.036,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.338e5,0,6.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.318e-5,NaN,NaN,NaN,NaN,5.706,58.951,1012.754,1116.707,0.5,0.275
# Event GROUND_HIT occurred at t=73.645 seconds
# Event SIMULATION_END occurred at t=73.645 seconds
73.645,0,-14.194,-0.001,14.194,0.064,-393.046,-0.016,393.046,-179.998,6.616,0.064,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.342e5,0,6.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.193e-5,NaN,NaN,NaN,NaN,6.544,58.976,1013.008,1116.735,0.477,0.276
