Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (m),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers,Mach number,Reynolds number ,Thrust (N),Drag force (N),Drag coefficient,Axial drag coefficient,Friction drag coefficient,Pressure drag coefficient,Base drag coefficient,Normal force coefficient,Pitch moment coefficient,Yaw moment coefficient,Side force coefficient,Roll moment coefficient,Roll forcing coefficient,Roll damping coefficient,Pitch damping coefficient,Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.2,2125.603,27.62,-1.019,27.621,1.019,42.777,0.041,42.777,0.055,0.169,0.023,28.61,-80.6,0.998,3.302,-4.155e-7,0.014,-2.737e-6,612.886,130,2.105,0.021,32.393,28.454,1.313,0.026,6.322e5,0,0.145,0.719,0.74,0.325,0.274,0.12,0.59,0.727,2.709e-4,0,0,0,0,0.047,1.099e-4,3,7.069,80.462,0.053,6.464,52.361,938.221,1109.428,0.05,0.058
8.25,2126.943,25.983,-1.017,25.984,1.017,42.768,0.042,42.768,0.056,0.202,0.018,28.61,-80.6,0.998,2.9,-4.142e-7,0.015,7.873e-7,612.886,130,2.105,0.021,32.501,28.454,1.349,0.024,5.944e5,0,0.128,0.723,0.74,0.329,0.274,0.12,0.511,0.63,-5.064e-5,0,0,0,0,0.06,1.034e-4,3,7.069,80.195,0.052,6.059,52.356,938.175,1109.423,0.05,0.058
8.3,2128.202,24.349,-1.014,24.35,1.014,42.757,0.042,42.757,0.056,0.234,0.022,28.61,-80.6,0.998,4.021,-4.139e-7,0.016,-1.044e-7,612.886,130,2.105,0.021,32.207,28.454,1.251,0.023,5.603e5,0,0.116,0.727,0.758,0.333,0.274,0.12,0.735,0.845,2.104e-4,0,0,0,0,0.075,9.689e-5,3,7.069,79.914,0.052,6.354,52.352,938.133,1109.418,0.05,0.059
8.35,2129.378,22.72,-1.012,22.721,1.012,42.744,0.042,42.744,0.056,0.269,0.022,28.61,-80.6,0.998,4.503,-4.158e-7,0.017,8.971e-7,612.886,130,2.105,0.021,32.086,28.454,1.211,0.021,5.246e5,0,0.104,0.732,0.77,0.338,0.274,0.12,0.836,0.918,2.155e-4,0,0,0,0,0.095,9.041e-5,3,7.069,79.617,0.051,6.309,52.347,938.093,1109.413,0.05,0.059
8.4,2130.474,21.094,-1.01,21.096,1.01,42.73,0.042,42.73,0.057,0.302,0.02,28.61,-80.6,0.998,4.727,-4.163e-7,0.018,2.504e-6,612.886,130,2.105,0.021,32.032,28.454,1.193,0.02,4.883e5,0,0.091,0.737,0.779,0.343,0.274,0.12,0.884,0.934,1.061e-4,0,0,0,0,0.12,8.394e-5,3,7.069,79.305,0.051,6.121,52.343,938.055,1109.409,0.05,0.059
8.45,2131.488,19.47,-1.008,19.473,1.008,42.714,0.043,42.714,0.057,0.332,0.017,28.61,-80.6,0.998,4.78,-4.159e-7,0.018,5.063e-6,612.886,130,2.105,0.021,32.019,28.454,1.188,0.018,4.515e5,0,0.078,0.743,0.786,0.349,0.274,0.12,0.895,0.912,-4.355e-4,0,0,0,0,0.152,7.748e-5,3,7.069,78.98,0.05,5.841,52.34,938.021,1109.405,0.05,0.059
8.5,2132.421,17.849,-1.007,17.853,1.007,42.697,0.043,42.697,0.057,0.357,0.014,28.61,-80.6,0.998,4.541,-4.171e-7,0.019,9.739e-6,612.886,130,2.105,0.021,32.077,28.454,1.208,0.017,4.141e5,0,0.066,0.749,0.789,0.355,0.274,0.12,0.844,0.829,2.905e-5,0,0,0,0,0.191,7.104e-5,3,7.069,78.644,0.05,5.44,52.336,937.989,1109.401,0.05,0.059
8.55,2133.273,16.231,-1.005,16.235,1.005,42.679,0.043,42.679,0.058,0.378,0.013,28.61,-80.6,0.998,5.183,-4.15e-7,0.019,1.152e-5,612.886,130,2.105,0.021,31.924,28.454,1.157,0.015,3.785e5,0,0.056,0.756,0.807,0.362,0.274,0.12,0.983,0.897,-3.73e-4,0,0,0,0,0.24,6.46e-5,3,7.069,78.299,0.049,5.305,52.333,937.96,1109.398,0.05,0.06
8.6,2134.044,14.615,-1.004,14.62,1.004,42.659,0.043,42.659,0.058,0.398,0.011,28.61,-80.6,0.998,5.412,-4.148e-7,0.02,1.573e-5,612.886,130,2.105,0.021,31.87,28.454,1.139,0.014,3.419e5,0,0.047,0.764,0.819,0.37,0.274,0.12,1.034,0.872,1.445e-4,0,0,0,0,0.306,5.818e-5,3,7.069,77.947,0.049,4.997,52.331,937.934,1109.395,0.05,0.06
8.65,2134.734,13.002,-1.002,13.008,1.002,42.639,0.044,42.639,0.058,0.419,0.015,28.61,-80.6,0.998,8.401,-4.158e-7,0.02,9.446e-6,612.886,130,2.105,0.021,31.245,28.454,0.93,0.013,3.104e5,0,0.042,0.772,0.886,0.378,0.274,0.12,1.749,1.243,-4.024e-4,0,0,0,0,0.385,5.176e-5,3,7.069,77.587,0.048,5.362,52.328,937.911,1109.392,0.05,0.06
8.7,2135.344,11.39,-1.001,11.399,1.001,42.617,0.044,42.617,0.059,0.444,0.016,28.61,-80.6,0.998,10.825,-4.158e-7,0.021,8.369e-6,612.886,130,2.105,0.021,30.817,28.454,0.788,0.011,2.774e5,0,0.036,0.782,0.947,0.388,0.274,0.12,2.403,1.392,2.224e-4,0,0,0,0,0.501,4.536e-5,3,7.069,77.221,0.048,5.421,52.326,937.89,1109.39,0.05,0.06
8.75,2135.873,9.782,-0.999,9.793,0.999,42.594,0.044,42.594,0.059,0.472,0.019,28.61,-80.6,0.998,14.815,-4.155e-7,0.021,6.183e-6,612.886,130,2.105,0.021,30.235,28.454,0.594,0.01,2.471e5,0,0.03,0.793,1.02,0.399,0.274,0.12,3.616,1.496,-4.978e-5,0,0,0,0,0.651,3.897e-5,3,7.069,76.849,0.048,5.666,52.324,937.872,1109.387,0.05,0.061
8.8,2136.322,8.176,-0.997,8.192,0.997,42.57,0.044,42.57,0.06,0.506,0.023,28.61,-80.6,0.998,20.868,-4.158e-7,0.021,3.633e-6,612.886,130,2.105,0.021,29.57,28.454,0.372,0.009,2.211e5,0,0.025,0.803,1.028,0.409,0.274,0.12,5.65,0.846,-3.166e-4,0,0,0,0,0.835,3.261e-5,3,7.069,76.471,0.047,6.103,52.322,937.857,1109.386,0.05,0.061
8.85,2136.691,6.573,-0.996,6.595,0.996,42.544,0.044,42.544,0.06,0.54,0.02,28.61,-80.6,0.998,25.377,-4.157e-7,0.021,4.549e-6,612.886,130,2.105,0.021,29.2,28.454,0.249,0.008,1.895e5,0,0.017,0.818,0.992,0.424,0.274,0.12,6.891,-2.114,-6.031e-5,0,0,0,0,1.127,2.626e-5,3,7.069,76.09,0.047,5.917,52.321,937.844,1109.384,0.05,0.061
8.9,2136.98,4.971,-0.996,5.003,0.996,42.516,0.045,42.516,0.06,0.57,0.018,28.61,-80.6,0.998,31.2,-4.161e-7,0.021,5.885e-6,612.886,130,2.105,0.021,28.839,28.454,0.128,0.006,1.582e5,0,0.011,0.837,0.9,0.443,0.274,0.12,8.705,-6.235,-3.2e-4,0,0,0,0,1.557,1.994e-5,3,7.069,75.715,0.047,5.626,52.32,937.834,1109.383,0.05,0.061
8.95,2137.188,3.37,-0.995,3.423,0.995,42.487,0.045,42.487,0.061,0.599,0.018,28.61,-80.6,0.998,41.726,-4.159e-7,0.02,5.529e-6,612.886,130,2.105,0.021,28.429,28.454,-0.008,0.005,1.358e5,0,0.006,0.854,0.647,0.46,0.274,0.12,12.372,-13.687,3.875e-4,0,0,0,0,1.975,1.367e-5,3,7.069,75.349,0.047,5.666,52.319,937.827,1109.382,0.05,0.061
9,2137.316,1.766,-0.997,1.869,0.997,42.456,0.045,42.456,0.061,0.612,0.005,28.61,-80.6,0.998,56.761,-4.159e-7,0.02,4.266e-6,612.886,130,2.105,0.021,34.222,28.454,1.923,0.005,1.259e5,0,0.002,0.863,0.279,0.469,0.274,0.12,4.3,-4.804,-2.872e-4,0,0,0,0,2.255,7.536e-6,3,7.069,74.993,0.046,5.967,52.319,937.823,1109.382,0.05,0.062
9.05,2137.365,0.162,-0.997,0.641,0.997,42.426,0.045,42.426,0.061,0.62,0.005,28.61,-80.6,0.998,72.902,-4.159e-7,0.019,4.265e-6,612.886,130,2.105,0.021,34.856,28.454,2.134,0.005,1.189e5,0,3.31e-4,0.869,0.048,0.475,0.274,0.12,4.562,-6.863,2.533e-4,0,0,0,0,2.423,2.88e-6,3,7.069,74.641,0.046,5.948,52.319,937.821,1109.382,0.05,0.062
# Event APOGEE occurred at t=9.1 seconds
9.1,2137.333,-1.442,-0.997,1.573,0.997,42.394,0.046,42.394,0.062,0.628,0.006,28.61,-80.6,0.998,89.169,-4.159e-7,0.019,3.898e-6,612.886,130,2.105,0.021,35.614,28.454,2.387,0.005,1.253e5,0,5.031e-8,0.863,6.553e-6,0.469,0.274,0.12,4.685,-7.279,2.817e-4,0,0,0,0,2.103,6.415e-6,3,7.069,74.296,0.046,6.057,52.319,937.822,1109.382,0.05,0.062
9.15,2137.221,-3.045,-0.996,3.111,0.996,42.363,0.046,42.363,0.062,0.638,0.006,28.61,-80.6,0.998,104.571,-4.16e-7,0.019,4.563e-6,612.886,130,2.105,0.021,36.456,28.454,2.667,0.005,1.334e5,0,-2.618e-4,0.856,-0.03,0.462,0.274,0.12,4.633,-6.475,4.912e-4,0,0,0,0,1.781,1.247e-5,3,7.069,73.957,0.046,5.784,52.319,937.826,1109.382,0.05,0.062
9.2,2137.028,-4.647,-0.996,4.693,0.996,42.33,0.046,42.331,0.062,0.65,0.008,28.61,-80.6,0.998,115.481,-4.159e-7,0.018,4.374e-6,612.886,130,2.105,0.021,37.078,28.454,2.875,0.006,1.554e5,0,-0.002,0.839,-0.137,0.445,0.274,0.12,4.541,-4.991,7.276e-5,0,0,0,0,1.258,1.874e-5,3,7.069,73.625,0.045,5.838,52.32,937.833,1109.383,0.05,0.063
9.25,2136.756,-6.248,-0.994,6.283,0.994,42.298,0.046,42.298,0.063,0.665,0.01,28.61,-80.6,0.998,125.291,-4.156e-7,0.018,4.995e-6,612.886,130,2.105,0.021,37.68,28.454,3.075,0.007,1.769e5,0,-0.005,0.825,-0.309,0.431,0.274,0.12,4.383,-3.338,-3.083e-4,0,0,0,0,0.93,2.506e-5,3,7.069,73.301,0.045,5.548,52.321,937.842,1109.384,0.05,0.063
9.3,2136.403,-7.846,-0.993,7.876,0.993,42.264,0.046,42.264,0.063,0.684,0.013,28.61,-80.6,0.998,132.527,-4.159e-7,0.018,5.38e-6,612.886,130,2.105,0.021,38.128,28.454,3.225,0.008,2.031e5,0,-0.009,0.811,-0.47,0.417,0.274,0.12,4.244,-1.884,1.796e-4,0,0,0,0,0.682,3.139e-5,3,7.069,72.982,0.045,5.298,52.322,937.854,1109.385,0.05,0.063
9.35,2135.971,-9.441,-0.99,9.468,0.99,42.229,0.047,42.229,0.063,0.708,0.017,28.61,-80.6,0.998,136.669,-4.159e-7,0.017,5.199e-6,612.886,130,2.105,0.021,38.363,28.454,3.303,0.009,2.344e5,0,-0.015,0.798,-0.564,0.404,0.274,0.12,4.186,-0.972,8.15e-6,0,0,0,0,0.499,3.772e-5,3,7.069,72.668,0.045,5.313,52.324,937.869,1109.387,0.05,0.063
9.4,2135.459,-11.032,-0.988,11.057,0.988,42.193,0.047,42.193,0.064,0.739,0.022,28.61,-80.6,0.998,139.864,-4.161e-7,0.017,5.039e-6,612.886,130,2.105,0.021,38.536,28.454,3.361,0.011,2.664e5,0,-0.022,0.786,-0.635,0.392,0.274,0.12,4.149,-0.27,-1.394e-4,0,0,0,0,0.381,4.404e-5,3,7.069,72.358,0.045,5.308,52.325,937.886,1109.389,0.05,0.063
9.45,2134.868,-12.618,-0.984,12.642,0.985,42.155,0.047,42.155,0.064,0.779,0.028,28.61,-80.6,0.998,141.276,-4.159e-7,0.017,4.495e-6,612.886,130,2.105,0.021,38.571,28.454,3.372,0.012,3.011e5,0,-0.029,0.775,-0.661,0.381,0.274,0.12,4.186,0.004,-1.311e-4,0,0,0,0,0.297,5.035e-5,3,7.069,72.049,0.044,5.565,52.328,937.906,1109.391,0.05,0.064
9.5,2134.198,-14.198,-0.98,14.223,0.981,42.115,0.047,42.115,0.064,0.83,0.035,28.61,-80.6,0.998,141.8,-4.161e-7,0.017,3.772e-6,612.886,130,2.105,0.021,38.531,28.454,3.359,0.014,3.37e5,0,-0.037,0.766,-0.665,0.372,0.274,0.12,4.272,0.034,3.307e-4,0,0,0,0,0.237,5.664e-5,3,7.069,71.739,0.044,5.98,52.33,937.929,1109.394,0.05,0.064
9.55,2133.448,-15.772,-0.976,15.797,0.977,42.072,0.048,42.072,0.065,0.892,0.042,28.61,-80.6,0.998,143.796,-4.153e-7,0.017,4.03e-6,612.886,130,2.105,0.021,38.623,28.454,3.39,0.015,3.693e5,0,-0.047,0.758,-0.706,0.364,0.274,0.12,4.269,0.43,-2.557e-5,0,0,0,0,0.2,6.29e-5,3,7.069,71.43,0.044,5.905,52.333,937.954,1109.397,0.05,0.064
9.6,2132.621,-17.338,-0.971,17.365,0.972,42.025,0.048,42.026,0.065,0.966,0.05,28.61,-80.6,0.998,145.367,-4.162e-7,0.018,3.936e-6,612.886,130,2.105,0.021,38.683,28.454,3.41,0.016,4.02e5,0,-0.058,0.751,-0.735,0.357,0.274,0.12,4.282,0.722,8.838e-5,0,0,0,0,0.175,6.914e-5,3,7.069,71.116,0.044,5.856,52.336,937.982,1109.4,0.05,0.064
9.65,2131.715,-18.896,-0.966,18.925,0.967,41.975,0.048,41.975,0.065,1.053,0.058,28.61,-80.6,0.998,147.146,-4.149e-7,0.018,4.323e-6,612.886,130,2.105,0.021,38.769,28.454,3.438,0.018,4.339e5,0,-0.071,0.746,-0.768,0.352,0.274,0.12,4.271,1.082,7.937e-5,0,0,0,0,0.159,7.535e-5,3,7.069,70.796,0.044,5.641,52.339,938.013,1109.404,0.05,0.064
9.7,2130.731,-20.444,-0.96,20.477,0.962,41.92,0.048,41.92,0.066,1.154,0.068,28.61,-80.6,0.998,147.825,-4.165e-7,0.019,3.84e-6,612.886,130,2.105,0.021,38.753,28.454,3.433,0.019,4.675e5,0,-0.083,0.74,-0.776,0.346,0.274,0.12,4.334,1.132,2.786e-4,0,0,0,0,0.149,8.153e-5,3,7.069,70.463,0.044,5.738,52.342,938.047,1109.408,0.05,0.065
9.75,2129.67,-21.982,-0.952,22.019,0.956,41.859,0.048,41.859,0.066,1.273,0.08,28.61,-80.6,0.998,147.951,-4.151e-7,0.02,3.753e-6,612.886,130,2.105,0.021,38.681,28.454,3.409,0.02,5.018e5,0,-0.095,0.735,-0.773,0.341,0.274,0.12,4.442,1.011,6.017e-5,0,0,0,0,0.141,8.768e-5,3,7.069,70.116,0.043,6.011,52.346,938.083,1109.412,0.05,0.065
9.8,2128.533,-23.508,-0.945,23.551,0.949,41.792,0.049,41.792,0.067,1.412,0.093,28.61,-80.6,0.998,148.221,-4.16e-7,0.021,3.376e-6,612.886,130,2.105,0.021,38.622,28.454,3.39,0.022,5.354e5,0,-0.108,0.73,-0.774,0.336,0.274,0.12,4.543,0.927,-4.104e-4,0,0,0,0,0.135,9.378e-5,3,7.069,69.754,0.043,6.209,52.35,938.121,1109.417,0.05,0.065
9.85,2127.32,-25.022,-0.937,25.071,0.943,41.718,0.049,41.718,0.067,1.571,0.106,28.61,-80.6,0.998,148.942,-4.155e-7,0.022,3.351e-6,612.886,130,2.105,0.021,38.614,28.454,3.387,0.023,5.678e5,0,-0.123,0.726,-0.784,0.332,0.274,0.12,4.601,0.986,-2.325e-4,0,0,0,0,0.132,9.984e-5,3,7.069,69.375,0.043,6.178,52.355,938.163,1109.421,0.05,0.065
9.9,2126.031,-26.522,-0.928,26.58,0.936,41.635,0.049,41.635,0.067,1.75,0.116,28.61,-80.6,0.998,150.242,-4.154e-7,0.023,3.956e-6,612.886,130,2.105,0.021,38.676,28.454,3.407,0.024,5.988e5,0,-0.141,0.722,-0.804,0.328,0.274,0.12,4.593,1.245,1.862e-4,0,0,0,0,0.133,1.058e-4,3,7.069,68.976,0.043,5.824,52.359,938.206,1109.427,0.05,0.065
9.95,2124.668,-28.008,-0.919,28.076,0.928,41.543,0.049,41.543,0.068,1.947,0.129,28.61,-80.6,0.998,151.228,-4.172e-7,0.025,3.552e-6,612.886,130,2.105,0.021,38.708,28.454,3.418,0.025,6.302e5,0,-0.159,0.719,-0.818,0.325,0.274,0.12,4.61,1.408,1.642e-4,0,0,0,0,0.138,1.118e-4,3,7.069,68.551,0.043,5.546,52.364,938.253,1109.432,0.05,0.066
10,2123.231,-29.48,-0.91,29.559,0.921,41.44,0.049,41.44,0.068,2.163,0.14,28.61,-80.6,0.998,152.446,-4.113e-7,0.027,4.997e-6,612.886,130,2.105,0.021,38.773,28.454,3.44,0.027,6.612e5,0,-0.178,0.716,-0.835,0.322,0.274,0.12,4.591,1.663,1.77e-4,0,0,0,0,0.149,1.177e-4,3,7.069,68.091,0.043,5.077,52.369,938.302,1109.438,0.05,0.066
10.05,2121.72,-30.935,-0.899,31.028,0.912,41.326,0.049,41.326,0.069,2.4,0.154,28.61,-80.6,0.998,153.101,-4.123e-7,0.029,4.775e-6,612.886,130,2.105,0.021,38.775,28.454,3.44,0.028,6.926e5,0,-0.197,0.713,-0.842,0.319,0.274,0.12,4.629,1.725,2.478e-4,0,0,0,0,0.163,1.236e-4,3,7.069,67.588,0.043,4.828,52.375,938.353,1109.444,0.05,0.066
10.1,2120.137,-32.37,-0.885,32.48,0.903,41.199,0.05,41.199,0.069,2.666,0.176,28.61,-80.6,0.998,152.409,-4.198e-7,0.032,3.047e-6,612.886,130,2.105,0.021,38.606,28.454,3.384,0.029,7.249e5,0,-0.212,0.71,-0.827,0.316,0.274,0.12,4.834,1.288,1.177e-4,0,0,0,0,0.176,1.294e-4,3,7.069,67.038,0.042,5.287,52.381,938.407,1109.45,0.05,0.066
10.15,2118.483,-33.782,-0.87,33.912,0.893,41.059,0.05,41.059,0.069,2.967,0.199,28.61,-80.6,0.998,151.897,-4.111e-7,0.034,3.023e-6,612.886,130,2.105,0.021,38.453,28.454,3.333,0.031,7.565e5,0,-0.228,0.707,-0.816,0.313,0.274,0.12,5.029,0.906,2.589e-4,0,0,0,0,0.182,1.351e-4,3,7.069,66.447,0.042,5.656,52.386,938.463,1109.456,0.05,0.066
10.2,2116.76,-35.171,-0.856,35.326,0.883,40.902,0.05,40.902,0.07,3.3,0.215,28.61,-80.6,0.998,152.583,-4.203e-7,0.036,2.245e-6,612.886,130,2.105,0.021,38.463,28.454,3.336,0.032,7.864e5,0,-0.249,0.705,-0.824,0.31,0.274,0.12,5.06,0.993,4.929e-5,0,0,0,0,0.188,1.408e-4,3,7.069,65.823,0.042,5.291,52.393,938.522,1109.463,0.05,0.067
10.25,2114.967,-36.533,-0.837,36.717,0.872,40.728,0.05,40.728,0.07,3.67,0.245,28.61,-80.6,0.998,151.544,-4.247e-7,0.037,1.007e-6,612.886,130,2.105,0.021,38.228,28.454,3.258,0.033,8.172e5,0,-0.262,0.702,-0.804,0.308,0.274,0.12,5.35,0.38,-3.259e-4,0,0,0,0,0.189,1.463e-4,3,7.069,65.166,0.042,5.983,52.399,938.583,1109.47,0.05,0.067
10.3,2113.107,-37.863,-0.816,38.083,0.861,40.534,0.05,40.534,0.071,4.088,0.275,28.61,-80.6,0.998,150.813,-4.21e-7,0.037,1.377e-6,612.886,130,2.105,0.021,38.028,28.454,3.192,0.034,8.47e5,0,-0.277,0.7,-0.79,0.306,0.274,0.12,5.611,-0.119,-4.29e-4,0,0,0,0,0.179,1.518e-4,3,7.069,64.493,0.042,6.524,52.406,938.646,1109.478,0.05,0.067
10.35,2111.181,-39.162,-0.8,39.425,0.851,40.319,0.05,40.319,0.071,4.544,0.291,28.61,-80.6,0.998,151.652,-4.151e-7,0.037,1.413e-6,612.886,130,2.105,0.021,38.067,28.454,3.204,0.035,8.749e5,0,-0.3,0.698,-0.801,0.304,0.274,0.12,5.61,0.057,4.847e-4,0,0,0,0,0.167,1.572e-4,3,7.069,63.82,0.042,6.026,52.413,938.711,1109.485,0.05,0.067
10.4,2109.191,-40.432,-0.779,40.744,0.841,40.079,0.05,40.079,0.072,5.033,0.317,28.61,-80.6,0.998,151.587,-4.243e-7,0.037,1.2e-6,612.886,130,2.105,0.021,37.968,28.454,3.172,0.036,9.03e5,0,-0.318,0.696,-0.798,0.302,0.274,0.12,5.763,-0.159,4.488e-4,0,0,0,0,0.156,1.625e-4,3,7.069,63.148,0.042,6.135,52.42,938.779,1109.493,0.05,0.067
10.45,2107.138,-41.669,-0.76,42.038,0.83,39.815,0.05,39.815,0.072,5.557,0.335,28.61,-80.6,0.998,152.202,-4.232e-7,0.037,1.09e-6,612.886,130,2.105,0.021,37.98,28.454,3.175,0.038,9.304e5,0,-0.342,0.696,-0.808,0.302,0.274,0.12,5.79,-0.064,2.597e-4,0,0,0,0,0.144,1.677e-4,3,7.069,62.481,0.042,5.76,52.427,938.849,1109.502,0.05,0.068
10.5,2105.025,-42.87,-0.733,43.305,0.821,39.523,0.05,39.523,0.073,6.123,0.369,28.61,-80.6,0.998,151.594,-4.242e-7,0.036,-2.825e-7,612.886,130,2.105,0.021,37.794,28.454,3.113,0.039,9.572e5,0,-0.357,0.696,-0.798,0.302,0.274,0.12,6.049,-0.533,2.595e-4,0,0,0,0,0.13,1.728e-4,3,7.069,61.823,0.042,6.295,52.435,938.921,1109.51,0.05,0.068
10.55,2102.852,-44.032,-0.712,44.544,0.811,39.202,0.05,39.202,0.073,6.733,0.39,28.61,-80.6,0.998,152.025,-4.213e-7,0.034,4.152e-7,612.886,130,2.105,0.021,37.781,28.454,3.109,0.04,9.833e5,0,-0.38,0.696,-0.805,0.302,0.274,0.12,6.103,-0.507,4.95e-4,0,0,0,0,0.112,1.779e-4,3,7.069,61.189,0.042,6.09,52.443,938.994,1109.519,0.05,0.068
10.6,2100.622,-45.157,-0.687,45.757,0.803,38.849,0.05,38.849,0.074,7.381,0.417,28.61,-80.6,0.998,152.035,-4.065e-7,0.032,1.659e-6,612.886,130,2.105,0.021,37.699,28.454,3.082,0.041,1.009e6,0,-0.4,0.696,-0.805,0.302,0.274,0.12,6.241,-0.681,-4.315e-4,0,0,0,0,0.094,1.828e-4,3,7.069,60.587,0.042,6.241,52.451,939.07,1109.527,0.05,0.068
10.65,2098.337,-46.244,-0.664,46.943,0.796,38.463,0.05,38.463,0.075,8.069,0.438,28.61,-80.6,0.998,152.442,-4.237e-7,0.03,3.868e-7,612.886,130,2.105,0.021,37.689,28.454,3.078,0.042,1.034e6,0,-0.424,0.696,-0.812,0.302,0.274,0.12,6.29,-0.652,-2.532e-4,0,0,0,0,0.078,1.876e-4,3,7.069,60.025,0.042,6.117,52.459,939.148,1109.536,0.05,0.068
10.7,2095.998,-47.295,-0.642,48.105,0.789,38.042,0.05,38.042,0.075,8.789,0.458,28.61,-80.6,0.998,152.883,-4.171e-7,0.028,-4.081e-8,612.886,130,2.105,0.021,37.688,28.454,3.078,0.043,1.058e6,0,-0.448,0.696,-0.819,0.302,0.274,0.12,6.325,-0.6,1.448e-4,0,0,0,0,0.063,1.924e-4,3,7.069,59.505,0.042,5.997,52.467,939.227,1109.546,0.05,0.069
10.75,2093.608,-48.311,-0.621,49.244,0.782,37.584,0.05,37.584,0.076,9.54,0.475,28.61,-80.6,0.998,153.489,-4.194e-7,0.026,-8.947e-7,612.886,130,2.105,0.021,37.721,28.454,3.089,0.044,1.082e6,0,-0.474,0.696,-0.828,0.302,0.274,0.12,6.316,-0.455,5.09e-5,0,0,0,0,0.052,1.97e-4,3,7.069,59.024,0.042,5.766,52.476,939.309,1109.555,0.05,0.069
10.8,2091.168,-49.292,-0.598,50.361,0.777,37.087,0.05,37.087,0.077,10.321,0.497,28.61,-80.6,0.998,153.764,-4.107e-7,0.024,-6.924e-7,612.886,130,2.105,0.021,37.699,28.454,3.082,0.045,1.106e6,0,-0.496,0.696,-0.832,0.302,0.274,0.12,6.376,-0.475,-2.908e-4,0,0,0,0,0.043,2.016e-4,3,7.069,58.577,0.042,5.847,52.485,939.392,1109.565,0.05,0.069
10.85,2088.679,-50.237,-0.578,51.456,0.772,36.551,0.05,36.551,0.078,11.133,0.512,28.61,-80.6,0.998,154.37,-4.061e-7,0.022,4.1e-7,612.886,130,2.105,0.021,37.741,28.454,3.096,0.046,1.129e6,0,-0.523,0.696,-0.84,0.302,0.274,0.12,6.351,-0.311,1.265e-4,0,0,0,0,0.036,2.062e-4,3,7.069,58.163,0.042,5.668,52.494,939.476,1109.575,0.05,0.069
10.9,2086.145,-51.149,-0.557,52.532,0.768,35.973,0.049,35.973,0.079,11.971,0.528,28.61,-80.6,0.998,154.909,-4.053e-7,0.021,8.705e-7,612.886,130,2.105,0.021,37.775,28.454,3.107,0.046,1.152e6,0,-0.549,0.696,-0.848,0.302,0.274,0.12,6.334,-0.174,-2.811e-4,0,0,0,0,0.031,2.106e-4,3,7.069,57.773,0.042,5.566,52.503,939.562,1109.585,0.05,0.069
10.95,2083.565,-52.026,-0.533,53.587,0.767,35.353,0.049,35.353,0.08,12.84,0.552,28.61,-80.6,0.998,155.051,-4.133e-7,0.02,7.675e-7,612.886,130,2.105,0.021,37.739,28.454,3.095,0.047,1.173e6,0,-0.57,0.696,-0.849,0.302,0.274,0.12,6.407,-0.245,-1.342e-4,0,0,0,0,0.027,2.15e-4,3,7.069,57.399,0.042,5.851,52.512,939.65,1109.595,0.05,0.07
11,2080.943,-52.87,-0.517,54.625,0.761,34.689,0.049,34.689,0.081,13.732,0.558,28.61,-80.6,0.998,155.955,-4.172e-7,0.02,8.866e-7,612.886,130,2.105,0.021,37.851,28.454,3.132,0.048,1.196e6,0,-0.601,0.696,-0.861,0.301,0.274,0.12,6.286,0.11,-3.132e-4,0,0,0,0,0.025,2.194e-4,3,7.069,57.041,0.042,5.437,52.521,939.739,1109.606,0.05,0.07
11.05,2078.279,-53.688,-0.499,55.648,0.757,33.98,0.049,33.98,0.082,14.638,0.569,28.61,-80.6,0.998,156.601,-4.178e-7,0.021,1.343e-6,612.886,130,2.105,0.021,37.918,28.454,3.155,0.049,1.218e6,0,-0.628,0.696,-0.868,0.301,0.274,0.12,6.222,0.331,-3.918e-4,0,0,0,0,0.027,2.237e-4,3,7.069,56.674,0.042,5.24,52.531,939.83,1109.616,0.05,0.071
11.1,2075.574,-54.476,-0.481,56.655,0.752,33.225,0.048,33.225,0.083,15.561,0.579,28.61,-80.6,0.998,157.218,-4.223e-7,0.023,2.324e-6,612.886,130,2.105,0.021,37.983,28.454,3.176,0.05,1.24e6,0,-0.656,0.696,-0.874,0.301,0.274,0.12,6.158,0.542,-4.641e-4,0,0,0,0,0.032,2.28e-4,3,7.069,56.277,0.042,5.029,52.541,939.922,1109.627,0.05,0.071
